ProcessName	Path	Id
AlienwareMobileConnectClient	C:\Program Files\WindowsApps\ScreenovateTechnologies.AlienwareMobileConnect_3.3.9810.0_x64__0vhbc3ng4wbp0\app\AlienwareMobileConnectClient.exe	8404
AlienwareMobileConnectUniversalClient	C:\Program Files\WindowsApps\ScreenovateTechnologies.AlienwareMobileConnect_3.3.9810.0_x64__0vhbc3ng4wbp0\AlienwareMobileConnectUniversalClient.exe	8596
ApplicationFrameHost	C:\WINDOWS\system32\ApplicationFrameHost.exe	11744
AppVShNotify	C:\Program Files\Common Files\Microsoft Shared\ClickToRun\AppVShNotify.exe	15692
audiodg	C:\WINDOWS\system32\AUDIODG.EXE	20156
AWCC	C:\Program Files\WindowsApps\DellInc.AlienwareCommandCenter_5.5.43.0_x64__htrsf667h5kn2\AWCC.exe	24440
AWCC.Background.Server	C:\Program Files\Alienware\Alienware Command Center\AWCC.Background.Server.exe	7180
AWCC.Service	C:\Program Files\Alienware\Alienware Command Center\AWCC.Service.exe	3340
awscns	C:\Users\AlienChops\AppData\Local\NhNotifSys\awsc\awscns.exe	12972
chrome		3088
chrome		6124
chrome		6248
chrome		10176
chrome		10292
chrome		11432
chrome		11488
chrome		11576
chrome		12936
chrome		13496
chrome		14724
chrome		15504
chrome		17276
chrome		17440
chrome		17716
chrome		19356
chrome		20716
chrome		22512
chrome		22816
chrome		23072
chrome		24184
chrome		24396
chrome		24768
chrome		24856
chrome		25052
chrome		25564
